command,intent,target,attribute,label,index,relation,reference
please long_press menu,long_press,menu,,,98,left,
close tab,close,tab,,,,left_edge,image gallery
삭제 menu,delete,menu,light,success,39,outside,audio player
unpin camera,unpin,camera,,password,97,top_right,refresh button
unpin the menu,unpin,menu,,,,below,
long_press 입력,long_press,input,,,61,first_row,chart view
long_press tab,long_press,tab,,settings,61,below,
launch chart,launch,chart,,,,under,map view
login audio,login,audio,,,,below,delete button
i think drag audio,drag,audio,,,,behind,
check the switch,check,switch,,ok,79,last,
accept progress_bar,accept,progress_bar,blue,,,first_column,
accept radio_button,accept,radio_button,,,18,right_edge,
launch message,launch,message,,register,87,nearest,
drag message,drag,message,warning,,89,right_edge,
check audio,check,audio,red,,,right_edge,
close chart,close,chart,,search,22,last_column,
can you close slider,close,slider,,logout,,under,search bar
close the file,close,file,,,,center,refresh button
launch password,launch,password,green,previous,2,between,audio player
long_press gallery,long_press,gallery,expanded,,,farthest,
please drag gallery,drag,gallery,,previous,43,between,sort button
삭제 message,delete,message,,notification,25,farthest,
drag the popup,drag,popup,bold,,,before,
unpin document,unpin,document,expanded,,,first_row,
close on password,close,password,expanded,,97,second_row,export button
delete the calendar,delete,calendar,yellow,register,,last_column,
c|ose gallery,close,gallery,expanded,,,before,
drag table,drag,table,italic,message,2,before,
check on gallery,check,gallery,danger,,,left_edge,
accept audio,accept,audio,,,37,second_last,password field
close on table,close,table,strikethrough,,61,second,notification panel
unpin search_box,unpin,search_box,disabled,,8,left_edge,
삭제해 audio,delete,audio,strikethrough,ok,39,bottom_right,
login th3 file,login,file,secondary,,,behind,
long_press the password,long_press,password,,export,,in_front_of,edit button
dr@g icon,drag,icon,large,register,4,last_column,menu button
check file,check,file,large,remove,92,after,
launch table,launch,table,bold,,,first_row,dialog box
삭제 image,delete,image,dark,settings,31,below,table view
accept the calendar,accept,calendar,,alert,79,before,
login message,login,message,danger,confirm,6,center,modal
지우세요 체크박스,delete,checkbox,secondary,,44,next_to,
check the table,check,table,dark,notification,53,center_right,
drag message,drag,message,success,add,6,right_edge,
unpin 체크박스,unpin,checkbox,red,notification,81,below,remove button
launch 입력,launch,input,,,57,bottom_left,header
long_press search_box,long_press,search_box,highlighted,info,,lower_center,
1ogin the message,login,message,danger,search,73,outside,save button
unpin popup,unpin,popup,,export,85,in_front_of,menu button
unpin 아이콘,unpin,icon,collapsed,phone,38,center_right,message field
i think can you login camera,login,camera,yellow,share,,lower_center,
please delete tab,delete,tab,large,,90,in_front_of,
delete graph,delete,graph,,save,86,next_to,
accept the calendar,accept,calendar,,cancel,91,center,settings button
close 입력,close,input,,save,24,between,
please login audio,login,audio,,previous,36,lower_center,
login the password,login,password,,warning,22,last,email field
deleet icon,delete,icon,,upload,35,left,
launch camera,launch,camera,dark,download,68,behind,
i think check card,check,card,small,,46,last,
unpin the document,unpin,document,,filter,0,under,
launcl notification,launch,notification,light,settings,33,below,
close chart,close,chart,green,message,,under,
drag image,drag,image,focused,,5,bottom_right,dialog box
long_press 입력,long_press,input,collapsed,,75,after,password field
unpin 입력,unpin,input,,,71,center,
launch notification,launch,notification,,ok,27,after,
unpin table,unpin,table,strikethrough,,81,center_right,back button
close switch,close,switch,,,61,under,
