english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
scroll to text to the left of the checkout,결제 왼쪽에 스크롤하여 텍스트 이동,scroll,text,NONE,left_of,checkout,NONE,"{""text"": ""scroll to text to the left of the checkout"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",val
remove text below the checkout,결제 아래에 텍스트 삭제,delete,text,NONE,below,checkout,NONE,"{""text"": ""remove text below the checkout"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
open gray button below the profile,프로필 아래에 회색 버튼 열기,open,button,gray,below,profile,NONE,"{""text"": ""open gray button below the profile"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""gray"", ""spatial_relation"": ""below"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
delete text to the left of the notifications,알림 왼쪽에 텍스트 삭제,delete,text,NONE,left_of,notifications,NONE,"{""text"": ""delete text to the left of the notifications"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
long-press gray text to the left of the help,도움말 왼쪽에 회색 텍스트 long-press,long-press,text,gray,left_of,help,NONE,"{""text"": ""long-press gray text to the left of the help"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
hit link underneath the checkout,checkout 하단에  link,tap,link,NONE,below,checkout,NONE,"{""text"": ""hit link underneath the checkout"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
tap on the last gray checkbox,마지막 회색 체크박스 탭,tap,checkbox,gray,NONE,NONE,last,"{""text"": ""tap on the last gray checkbox"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
delete image to the left of the payment,결제 왼쪽에 이미지 삭제,delete,image,NONE,left_of,payment,NONE,"{""text"": ""delete image to the left of the payment"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
hit first action button on the left side of the settings,settings 좌측에  button,tap,button,NONE,left_of,settings,1st,"{""text"": ""hit first action button on the left side of the settings"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""settings"", ""position"": ""1st""}}",test
duplicate label left of the address,address 좌측에  text,copy,text,NONE,left_of,address,NONE,"{""text"": ""duplicate label left of the address"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
