command,intent,target,attribute,label,index,relation,reference
delete image,delete,image,,notification,1,behind,popup
지우세요 switch,delete,switch,,search,,next_to,download button
long_press the calendar,long_press,calendar,expanded,confirm,76,second_row,
long_press the popup,long_press,popup,expanded,logout,,outside,edit button
i think login notification,login,notification,active,empty,56,before,audio player
delete the progress_bar,delete,progress_bar,,password,49,right_edge,share button
drag password,drag,password,light,share,66,right_edge,audio player
삭제 text,delete,text,italic,,,next_to,
close on table,close,table,collapsed,,,third,
please login camera,login,camera,,back,,left,
please drag radio_buttok,drag,radio_button,,,,left,
delete the password,delete,password,,loading,,under,edit button
actually please close table,close,table,underlined,,,center,card list
long_press popup,long_press,popup,warning,,7,left_edge,
can you drag tab,drag,tab,strikethrough,,18,farthest,
i think check the gallery,check,gallery,green,error,86,left,
actually can you drag gallery,drag,gallery,focused,,40,first_row,
please delete link,delete,link,large,,,first_row,settings button
like check the file,check,file,secondary,,17,top_right,cancel button
unpin slider,unpin,slider,expanded,download,,second_row,calendar view
8npin tab,unpin,tab,,,50,inside,
please unpin progress_bar,unpin,progress_bar,,,0,right_edge,
check slider,check,slider,,,67,between,card list
maybe login the dialog,login,dialog,,import,,center,calendar view
unpin chart,unpin,chart,,search,78,next_to,
check 아이콘,check,icon,dark,,,outside,top navigation
삭제 calendar,delete,calendar,,,97,farthest,
actually long_press the camera,long_press,camera,,login,16,first_row,
accept chact,accept,chart,blue,,,right_edge,
login progress_bar,login,progress_bar,small,,74,in_front_of,
please login menu,login,menu,,,34,last,address field
can you unpin graph,unpin,graph,italic,alert,42,above,dialog box
you know login camera,login,camera,small,refresh,0,behind,
check notification,check,notification,info,success,85,center_right,
maybe launch checkbox,launch,checkbox,secondary,,52,first_column,
accept the dropdown,accept,dropdown,italic,filter,5,behind,
please close slider,close,slider,,,21,nearest,popup
close imput,close,input,small,,,second_last,
please drag camera,drag,camera,focused,,29,in_front_of,top navigation
like can you launch icon,launch,icon,primary,profile,,bottom_right,
unpin the input,unpin,input,,,50,last_column,cart icon
chec6 link,check,link,,share,,outside,
summit the dropdown,submit,dropdown,,edit,99,behind,header
can you launch message,launch,message,blue,share,,in_front_of,
submit on file,submit,file,yellow,,,after,
unpin popup,unpin,popup,warning,,,inside,card list
long_press 입력,long_press,input,light,home,41,inside,
can you login switch,login,switch,,delete,96,last_column,
subm1t the card,submit,card,,export,96,below,settings button
launch icon,launch,icon,,,,under,
cnn you launch hab,launch,tab,dark,password,21,farthest,message field
long_presu the dropdewn,long_press,dropdown,,previous,65,bottom_right,
like please launch dialog,launch,dialog,,,79,left_edge,
alease check chart,check,chart,,home,66,third,table view
please unpin checkbox,unpin,checkbox,,save,85,behind,save button
you know drag chart,drag,chart,,,88,inside,
launch the audio,launch,audio,active,confirm,71,center,
unpin the camera,unpin,camera,,alert,14,first_row,
please long_press dialog,long_press,dialog,,,,third,top navigation
close the strikethrough dialog,close,dialog,strikethrough,,,top_right,
login checkbox,login,checkbox,,next,,farthest,
check text,check,text,bold,,,first_row,
just please delete file,delete,file,dark,export,20,lower_center,back button
please delete tab,delete,tab,,address,44,bottom_right,delete button
like unpin file,unpin,file,,,,bottom_right,
drsg calendar,drag,calendar,red,,,last,
like can you long_press checkbox,long_press,checkbox,danger,register,,left,
unpin the audio,unpin,audio,active,,35,nearest,modal
subm1t oo card,submit,card,,loading,62,below,
please long_press graph,long_press,graph,,,49,bottom_right,
unpin search_box,unpin,search_box,,download,,right_edge,
drcg phone_number,drag,phone_number,success,,,bottom_left,notification panel
launch search_box,launch,search_box,,,4,farthest,
long_press on icon,long_press,icon,disabled,email,14,second_last,chart view
please check calendar,check,calendar,red,save,66,inside,modal
삭제 입력,delete,input,success,,9,right_edge,
drag tab,drag,tab,large,search,46,last_column,sidebar menu
can you login progress_bar,login,progress_bar,,,47,inside,add button
check popup,check,popup,red,filter,,first_column,
삭제해 체크박스,delete,checkbox,,,57,last_column,profile icon
can you login link,login,link,dark,,34,center,calendar view
can you de1ete eropdown,delete,dropdown,,upload,,third,
close on card,close,card,,previous,44,above,
unpin checkbox,unpin,checkbox,success,edit,32,last_column,
삭제 체크박스,delete,checkbox,,delete,39,nearest,cart icon
close the checkbox,close,checkbox,highlighted,,,left_edge,search bar
can you launch graph,launch,graph,strikethrough,,47,outside,
caa you long_press chart,long_press,chart,green,edit,53,nearest,
delete menu,delete,menu,,,,left_edge,modal
close tab,close,tab,active,logout,38,center,
delet messag0,delete,message,large,save,73,second_last,
please unpin menu,unpin,menu,highlighted,,74,first_column,
clpse notification,close,notification,dark,,,before,
delet3 the calendar,delete,calendar,light,,34,farthest,
lomin the icow,login,icon,success,cancel,95,after,
please check dropdown,check,dropdown,success,settings,1,second,
unpin message,unpin,message,large,,,right_edge,
unpin menu,unpin,menu,bold,,51,second_row,table view
can you submit text,submit,text,,add,30,last_column,audio player
actually please unpin progress_bar,unpin,progress_bar,,upload,84,inside,
login th3 dropdown,login,dropdown,dark,,41,farthest,
acceit ico6,accept,icon,danger,,50,second_row,image gallery
accept slider,accept,slider,,login,80,left,popup
please delete message,delete,message,,,,right_edge,profile icon
like can you long_press icon,long_press,icon,focused,home,9,nearest,
check audio,check,audio,expanded,settings,86,next_to,
please de leaf calendar,delete,calendar,italic,loading,,bottom_left,message field
you know unpin notification,unpin,notification,small,search,94,second_row,
check the card,check,card,,,36,second_last,
accept lixk,accept,link,,share,74,right_edge,
can you drag text,drag,text,,previous,85,below,
like delete the slider,delete,slider,yellow,sort,,third,import button
can you launch input,launch,input,underlined,email,,second_row,cart icon
long_press the search_box,long_press,search_box,,settings,11,between,
you know accept icon,accept,icon,,,65,above,cancel button
