row_id,lang,text,true_intent,pred_intent,intent_correct,confidence_intent,true_target,pred_target,target_correct,confidence_target,true_spatial,pred_spatial,spatial_correct,confidence_spatial,fully_correct,failure_type
16,en,[EN] copy black text,copy,copy,True,1.0,text,text,True,1.0,none,none,True,1.0,True,correct
16,ko,[KO] 검정색 텍스트 복사,copy,copy,True,1.0,text,text,True,1.0,none,none,True,1.0,True,correct
53,en,[EN] touch toggle under the menu,tap,tap,True,1.0,switch,switch,True,1.0,below,below,True,1.0,True,correct
53,ko,[KO] 메뉴 하단에 스위치 탭,tap,tap,True,1.0,switch,switch,True,1.0,below,below,True,1.0,True,correct
56,en,[EN] delete button to the left of the help,delete,delete,True,1.0,button,button,True,1.0,left_of,left_of,True,1.0,True,correct
56,ko,[KO] 도움말 왼쪽에 버튼 삭제,delete,delete,True,1.0,button,button,True,1.0,left_of,left_of,True,1.0,True,correct
62,en,[EN] open pink link above the first email,open,open,True,1.0,link,link,True,1.0,above,above,True,1.0,True,correct
62,ko,[KO] 첫 번째 이메일 위에 분홍색 링크 열기,open,open,True,1.0,link,link,True,1.0,above,above,True,1.0,True,correct
63,en,[EN] paste the 2nd text to the right of the last item,paste,paste,True,1.0,text,text,True,1.0,right_of,right_of,True,1.0,True,correct
63,ko,[KO] 마지막 항목 오른쪽에 2번째 텍스트 붙여넣기,paste,paste,True,1.0,text,text,True,1.0,right_of,right_of,True,1.0,True,correct
67,en,[EN] copy the last text to the left of the notifications,copy,copy,True,1.0,text,text,True,1.0,left_of,left_of,True,1.0,True,correct
67,ko,[KO] 알림 왼쪽에 마지막 텍스트 복사,copy,copy,True,1.0,text,text,True,1.0,left_of,left_of,True,1.0,True,correct
80,en,[EN] scroll down to tab next to the wi-fi,scroll,scroll,True,1.0,tab,tab,True,1.0,next_to,next_to,True,1.0,True,correct
80,ko,[KO] Wi-Fi 옆에 아래로 스크롤하여 탭 이동,scroll,scroll,True,1.0,tab,tab,True,1.0,next_to,next_to,True,1.0,True,correct
88,en,[EN] copy the 3rd red text to the left of the first email,copy,copy,True,1.0,text,text,True,1.0,left_of,left_of,True,1.0,True,correct
88,ko,[KO] 첫 번째 이메일 왼쪽에 3번째 빨간색 텍스트 복사,copy,copy,True,1.0,text,text,True,1.0,left_of,left_of,True,1.0,True,correct
